,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,바퀴,단
297,355,184614,"[이베스타]다람쥐 테이블/피크닉/미니/화분받침대/디자인소품/좌식식탁, 개방형무도색",20000,1601064718,False,0,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
298,356,184614,"대리석 무늬 파우더룸 향수 탁상용 수납함 향수화장 유리문장 원목 2단, 오류 발생시 문의 ( 에이맨0506 )",44400,5328898522,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
299,357,184614,"[히트가구]H653 4단 12칸 선반 수납장, 아카시아화이트",118900,5514364714,False,0,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
300,358,184614,"보노하우스 레브 선반 수납장 5단 트리플 1-A타입, 화이트 프레임_블루앤네이비",159800,22173294,False,0,4.5,4.0,False,보노하우스,0,,NULL,NULL,NULL,NULL,NULL,NULL
301,359,184614,이케아 HALLAN 헬란 수납콤비네이션+도어 화이트45x47x67 cm,59900,5104456165,False,0,,,False,이케아,"10,000",,NULL,NULL,NULL,NULL,NULL,NULL
302,360,184614,"레이넬 1000 수납장, 네이비",185000,5393356950,False,20,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
303,361,184614,"러팬 책상밑에 붙여쓰는 미니 서랍 필통 수납함 트레이, 화이트",2900,2145598216,False,0,,,False,,0,,길이22*폭9cm 높이3.5cm,NULL,NULL,모던/심플,슬라이딩방식,NULL
304,362,184614,"트리빔하우스 모더니 600 낮은 수납 밥솥 렌지대 TB21H04C, 우드",48900,4869421650,False,17,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
305,364,184614,"[천삼백케이] [아이엔지홈] 알렉스 1200 높은 수납장 ALEX 올화이트, 알렉스 1200 높은 수납장 올화이트",153500,341150976,False,0,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
306,365,184614,"[수도권 5일 로켓배송] 포더홈 플레인 수납장 800 일반형, 화이트",79900,4854771181,False,60,,,False,포더홈,착불배송,,NULL,화이트,합성목재,NULL,바퀴없음,NULL
307,366,184614,"이케아 루스틱쿠레 바구니 내추럴 부레옥잠해초33x46x37cm, 단품",31670,5314479219,False,0,,,False,,"3,000",,NULL,NULL,NULL,NULL,NULL,NULL
308,367,184614,"이케아 에케트 수납장 화이트35x35x35cm, 다크그레이",39600,5341681972,False,11,,,False,,"30,000",,NULL,NULL,NULL,NULL,NULL,NULL
309,368,184614,"아리아퍼니쳐 Stilo-Alto 다용도 캐비닛, 본품",85400,5227595234,False,44,4.0,1.0,False,,착불배송,1.0,NULL,NULL,NULL,NULL,NULL,NULL
310,369,184614,"보네르스토리 키다리 양문 원목수납장 수납장, 오크",119000,18834525,False,0,4.5,2.0,False,,0,2.0,NULL,NULL,원목,NULL,NULL,3단
311,371,184614,"[] [필웰] 착불 ST9843 무노 다용도 서랍수납장800 DVX, 색상:화이트",79000,1856707984,False,38,5.0,3.0,False,,착불배송,3.0,NULL,NULL,NULL,NULL,NULL,NULL
312,372,184614,"마켓비 MKB 캐비넷 6문 수납장 9131600, 화이트",212800,1482168978,False,5,4.5,8.0,False,마켓비,0,8.0,NULL,NULL,NULL,NULL,NULL,NULL
313,373,184614,"마켓비 MKB 캐비넷 모던세로중 2문 수납장 8001015, 블랙",126350,336011848,False,5,4.5,2.0,False,마켓비,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
314,374,184614,"(할인특가)아트허브 로카 철재 6단 서랍 캐비넷 수납장, 레드",37000,225537693,False,26,4.0,8.0,False,,"2,500",3.0,NULL,NULL,NULL,NULL,NULL,NULL
315,375,184614,"철물프렌드 부드럽게 닫히는 댐퍼철레일 댐퍼레일 철레일 서랍레일, 댐퍼철레일450용",5700,81369267,False,0,4.5,24.0,False,,"2,500",10.0,NULL,NULL,NULL,NULL,NULL,NULL
316,376,184614,"이소품 캔빌리지 원형2단 수납장, 그레이",37340,77756108,False,3,4.5,168.0,False,이소품,0,28.0,32 x 32 x 40 cm,그레이,플라스틱,NULL,NULL,2단
317,377,184614,"태영가구 정수기받침대 400, 블랙",45000,5228410094,True,0,3.5,3.0,False,,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL
318,379,184614,"마켓비 LETANTO 서랍문 수납장 CHM9060, 브라운월넛베니어",293500,1978157559,False,0,4.0,14.0,False,마켓비,0,14.0,NULL,NULL,NULL,NULL,NULL,NULL
319,380,184614,"삼익가구 솔리드 대리석 상판 높은 거실장 수납장 600, 그레이",41900,153904297,False,53,4.0,13.0,False,삼익가구,착불배송,6.0,600x415x610,그레이,"LPM, MDF, PB, 경첩 등",NULL,바퀴없음,NULL
320,381,184614,"달리빙앤 800 거울 상부장, 화이트",39900,2080267234,False,0,4.5,6.0,False,,착불배송,6.0,NULL,NULL,NULL,NULL,NULL,NULL
321,382,184614,"[] [필웰] 착불 ST9842 무노 다용도 서랍수납장540 DVX, 색상:화이트",67000,1856707981,False,24,5.0,4.0,False,,착불배송,4.0,NULL,NULL,NULL,NULL,NULL,NULL
322,383,184614,"가온리빙 허쉬 갤러리 6120 수납장, 화이트",82900,2838941,False,0,4.5,84.0,False,가온리빙,착불배송,14.0,600 x 400 x 1200mm,화이트,PB + MDF,NULL,NULL,NULL
