,from selenium import webdriver ,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,소재,스툴,사용인원,설치,인테리어
116,,146.0,184623.0,"[엘린까사]헤라 아쿠아텍스 3인소파(스툴미포함), 라이트그레이",189000.0,4738555256.0,False,20.0,5.0,1.0,False,엘린까사,착불배송,1.0,NULL,그레이,NULL,NULL,스툴 없음,3인,NULL,모던/심플
117,,148.0,184623.0,"블루밍홈 인더 인조가죽 1인용 소파, 다크브라운",112000.0,288397365.0,True,13.0,4.5,10.0,False,블루밍홈,0,10.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,,152.0,184623.0,"1인쇼파 패브릭쇼파 킹쇼파 360도회전, 레드(스툴포함)",113810.0,211595349.0,False,0.0,5.0,8.0,False,,착불배송,8.0,NULL,NULL,NULL,NULL,스툴있음,NULL,NULL,NULL
119,,153.0,184623.0,"자네트 로마노 4인용 카우치 가죽쇼파 (3인용+카우치) 4인용쇼파, A형 화이트",398000.0,324094289.0,False,47.0,4.5,57.0,False,자네트,착불배송,37.0,NULL,NULL,NULL,NULL,스툴 없음,4인용,NULL,모던/심플
120,,154.0,184623.0,"레이디가구 무브먼트 원목 소파베드_프레임, 그레이",249000.0,4533467663.0,False,52.0,4.5,8.0,False,레이디가구,착불배송,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,,156.0,184623.0,"아늑 안락 윙체어 1인 패브릭 쇼파, 02 라이트그레이",109900.0,4847536941.0,False,14.0,3.5,5.0,False,,착불배송,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,,157.0,184623.0,"에보니아 칸나 2인 방수패브릭 쇼파, 그레이",188330.0,234450420.0,True,0.0,4.5,17.0,False,에보니아,0,16.0,NULL,NULL,NULL,패브릭,NULL,2인용,NULL,모던/심플
123,,158.0,184623.0,"고암통상 플라워 1인용 소파 ( 성인 베이비 공용 안락하고 편안한 1인 쇼파 의자), 레드",98000.0,1362275232.0,False,1.0,4.5,6.0,False,,0,6.0,NULL,NULL,NULL,기타,NULL,NULL,NULL,북유럽
124,,159.0,184623.0,"자네트 쟈드 3인용 가죽쇼파 스툴포함, 블랙",229000.0,128822044.0,False,50.0,4.5,213.0,False,자네트,착불배송,65.0,3인용쇼파 W1800xD950xH720(헤드업880) / 스툴 W560xD8300xH380,NULL,인조가죽,NULL,,NULL,NULL,NULL
125,,160.0,184623.0,"퍼니코 메르 아쿠아텍스 3인소파 2colors (스툴무료증정), 스카이블루(스툴무료증정)",229000.0,4633759978.0,False,47.0,4.5,10.0,False,퍼니코,착불배송,10.0,NULL,NULL,NULL,패브릭,NULL,3인용,NULL,로맨틱
126,,161.0,184623.0,"밸런스가구 스위티 3인용 소파, 카푸치노",229000.0,14080952.0,False,11.0,4.5,164.0,False,밸런스가구,착불배송,18.0,1980 x 960 x 550 mm,브라운,인조가죽,NULL,NULL,3인용,NULL,NULL
127,,162.0,184623.0,"공간 1인 2인용 카페 업소 서재 원룸 자취방 골프스크린 헤어샵 부동산 호텔 병원 대기실 작은 미니 소형 인조가죽 철재 소파 의자, 블랙",67000.0,5249460805.0,False,16.0,5.0,7.0,False,,착불배송,7.0,NULL,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,NULL
128,,163.0,184623.0,"[삼익가구]모릭 아쿠아텍스 3인용 소파(스툴포함), 아이보리",219000.0,5142348542.0,False,63.0,5.0,8.0,False,삼익가구,착불배송,8.0,NULL,NULL,NULL,NULL,스툴있음,NULL,NULL,NULL
