,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,색상,재질,인테리어
436,628,184670,"아이베란다 래티스 원목파티션, 무도장, 600x1200mm(지지대별도)",36000,9290274,False,0,5.0,4.0,False,,"6,000",1.0,브라운,원목,NULL
437,629,184670,"아이베란다 래티스 원목파티션, 무도장, 900x1500mm(지지대별도)",67000,9290877,False,0,,,False,,"6,000",,베이지,원목,NULL
438,631,184670,"인피닛코리아 인테리어 퍼즐 파티션, G177-D 퍼즐블라인드 D 원형 1개",1900,66929949,False,0,5.0,2.0,False,인피닛코리아,0,,화이트,NULL,NULL
439,633,184670,"인테리어파티션 라탄 칸막이 거실 접이식병풍 현관 심플 모던 접이식 이동 패브릭 호텔, T17-2*0.5베이지(여섯 부채 단면)",131600,314103668,False,0,,,False,,"7,000",,NULL,NULL,NULL
440,634,184670,"블라인드할인몰 와이드광폭 칼라홀딩도어, F-6. 와이드광폭 블랙+부속 블랙",600,181312387,False,0,,,False,,0,,NULL,NULL,NULL
441,635,184670,품질보장_[正統手功] 사군자 반야심경 8폭병풍+병풍커버포함,203220,5445995775,False,0,,,False,,0,,NULL,NULL,NULL
442,637,184670,"[까사라움] 블라인드 원목 인테리어 가벽 파티션 네이비블루, 상세 설명 참조",122550,1661297808,False,5,,,False,,0,,NULL,NULL,NULL
443,639,184670,셀프가벽만들기 업소파티션 식당용가림막 연출 분위기,460170,4561634680,False,0,,,False,,0,,NULL,NULL,NULL
444,640,184670,"이동식 철재 타공판 파티션 가벽 원룸 인테리어, 흰색 50x160 후크20개",57000,4600032203,False,0,,,False,,0,,NULL,NULL,NULL
445,643,184670,"간이 철제 파티션 가벽 가림막 병풍 칸막이, M.화이트/블랙펄아나콘다120*40",57900,5313880271,False,12,,,False,,0,,NULL,NULL,NULL
446,644,184670,"(GIK)업소 매장용 테이블 칸막이 가림막 (바퀴있는버전) 파티션 폴리카보네이트, 바퀴달린 프레임 투명블랙",121050,5010851864,False,29,,,False,,0,,NULL,NULL,NULL
447,647,184670,"라탄파티션 발코니 황색등나무 등나무 가지치기 유교 차단 벽 동아리 낮은 커튼 가리개, 01 높이 50cmx폭 30cm(하위 펀칭)",127500,4760001350,False,0,,,False,,0,,NULL,NULL,NULL
448,648,184670,"동양칸막이 1단 병원칸막이 스크린 다용도 초경량 알루미늄 가림막, 블루",66000,174583733,False,0,3.5,2.0,False,,"20,000",2.0,NULL,NULL,NULL
449,649,184670,"고풍 스타일 우브 접이식 파티션 가벽 49종, H4",159000,1929936754,False,0,4.5,2.0,False,마스터,"7,000",2.0,NULL,NULL,NULL
450,651,184670,"북유럽 미니멀 현관 가벽 설치 원룸 공간분리 파티션 분할 만들기 주방 미용실 인테리어 거실 홈 인테리어, 단면180*39(플랫)원턱",58900,4668071241,False,52,,,False,,0,,NULL,NULL,NULL
451,654,184670,VIPB 차량용 고강도 비말차단 가림막 택시 (국내산),37900,4651920918,False,0,4.5,3.0,False,,"2,500",3.0,NULL,NULL,NULL
452,655,184670,"모디디 마드라스2 4단 파티션 NY-1013-4BK, 블랙",119000,116199271,True,0,2.5,2.0,False,,0,,NULL,NULL,NULL
453,657,184670,"카미코코 1500 1단 2단 3단 우드파티션 칸막이 가리개, 1500 올워시 3단 (420)",71900,1173062319,False,0,4.0,2.0,False,,착불배송,1.0,NULL,NULL,NULL
454,658,184670,"[한샘x스파이더락] 스페이스플러스 철제파티션(훅5P 포함), 블랙",40570,2170774330,False,3,,,False,한샘,"8,000",,NULL,NULL,NULL
455,660,184670,"하트 패브릭 패널 미니 4단 원목 인테리어 파티션 사무실 책상 낮은 칸막이, 체리브라운",102000,4650086822,False,18,5.0,1.0,False,가구야히메,"6,600",1.0,브라운,원목,클래식/엔틱
456,662,184670,"인기몰 1+1 공간나눔 수납파티션, 단일색상1+1",2700,204715453,False,46,4.0,4.0,False,,0,2.0,그레이,PP,NULL
457,663,184670,"아트박스/까사라움 까사라움 하프갤러리패브릭 원목3단 접이식 인테리어 파티션 2color, 화이트",99000,1678513487,False,16,5.0,2.0,False,,0,2.0,NULL,NULL,NULL
458,664,184670,"우드레이 가벽인테리어 현관 셀프 파티션 간격좁음, 블랙/화이트/메이플/브라운 356mm",109900,1234488661,False,0,4.5,16.0,False,우드레이,0,15.0,NULL,NULL,NULL
459,665,184670,"센스2030 신일 철재 파티션 선반, 신일 철재 파티션 선반/(폭4.5cm이하)",10710,4951507609,False,16,,,False,센스2030,0,,NULL,NULL,NULL
460,667,184670,"동양칸막이 2단 병원칸막이 스크린 다용도 초경량 알루미늄 가림막, 블루",132000,174583807,False,0,,,False,,"20,000",,NULL,NULL,NULL
461,670,184670,"레트로하우스 틴우드 유리 철제파티션 1200 (하프), 화이트",74000,298365511,False,58,3.5,10.0,False,레트로하우스,착불배송,10.0,NULL,NULL,NULL
462,671,184670,"베스트리빙 NA 파인 3단 파티션 NY-10115-3, 내츄럴",91780,1609282557,True,4,4.5,3.0,False,베스트리빙,0,3.0,NULL,NULL,NULL
463,672,184670,"피오피나라 (아크릴민원칸막이) 가림막 아크릴판 식당 수능 학교 공공기관, 900 x 590 x 3T",43000,4504843420,False,14,5.0,1.0,False,,"7,000",1.0,NULL,NULL,NULL
