,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어
233,312,184613,"이케아 HELMER 이동식서랍유닛, 그레이",38500,5333918901,False,0,5.0,3.0,False,,착불배송,3.0,NULL,NULL,NULL,NULL
234,313,184613,"[보루네오 하우스] 아르메 그레이 1200 빅와이드 3단 서랍장, 색상:그레이+메이플",119000,346758123,False,0,4.0,23.0,False,보루네오하우스,착불배송,21.0,NULL,NULL,NULL,NULL
235,314,184613,"제우스가구 트랜드 낮은서랍장 600, 매플화이트",35800,2343074,True,0,3.0,103.0,False,,0,16.0,600 x 400 x 545mm,브라운,합성목재,NULL
236,315,184613,데코라인 데니 와이드 서랍장 아카시아 서랍/수납장>>서랍장,109000,210165579,False,60,5.0,2.0,False,데코라인,착불배송,1.0,NULL,NULL,NULL,NULL
237,316,184613,"대도갤러리 해피트리 800 3단 서랍장, 화이트",64800,1270975937,False,6,4.0,22.0,False,대도갤러리,착불배송,19.0,NULL,NULL,NULL,NULL
238,317,184613,"추카추카넷 빈티지 우드 2칸 서랍 선반, 본상품선택, 브라운",26970,2044914,True,40,3.5,98.0,False,,0,29.0,본품선택,브라운,원목,NULL
239,318,184613,"리바트 로넌 2단 이동서랍 서랍장, 아이보리(EJDB16262IV)",100760,5980653,False,34,5.0,11.0,False,리바트,0,4.0,NULL,NULL,NULL,NULL
240,319,184613,"원스홈 빅스타 1200 5단 서랍장 빅와이드 왕5단 서랍장, 화이트",179000,1566561665,False,10,4.0,11.0,False,,착불배송,11.0,NULL,NULL,NULL,모던/심플
241,320,184613,리센트 미카엘 와이드체스트7단서랍장,173850,57900835,False,16,4.5,85.0,False,,,20.0,NULL,NULL,NULL,NULL
242,321,184613,"[퍼니코] 아리아 600 3단서랍장 발통형, 오크",57900,162896856,False,51,4.5,8.0,False,,착불배송,7.0,NULL,NULL,NULL,NULL
243,322,184613,"솔로리빙 기획광폭 600 5단 서랍장 안방 드레스룸 옷 속옷 정리 수납장 수납서랍장 서랍정리 옷정리 광폭서랍장 침실서랍 옷수납 옷정리, 화이트",86900,1956413137,False,13,1.0,1.0,False,솔로리빙,착불배송,1.0,NULL,NULL,NULL,NULL
244,323,184613,"동서가구 라임 속 깊은 광폭 600 4단서랍장 DF642269, 화이트",119000,1593649361,False,37,5.0,3.0,False,동서가구,착불배송,3.0,NULL,NULL,NULL,NULL
245,324,184613,"이케아 정품 LENNART 렌나르트 서랍유닛 103.261.78 st, 상세페이지 참조",21970,4706645193,False,0,5.0,2.0,False,이케아,착불배송,2.0,NULL,NULL,NULL,NULL
246,325,184613,"소티디자인 디프 5단 속깊은 서랍장 600 광폭 수납장, 아이보리",89900,95733589,False,30,4.0,34.0,False,소티디자인,착불배송,13.0,W600 x D500 x H1240,화이트,합성목재,NULL
247,328,184613,"코끼리리빙 린넨 4단 서랍장, 브라운",35010,241297099,True,23,3.5,13.0,False,코끼리리빙,0,8.0,NULL,NULL,NULL,NULL
248,329,184613,"파란들 라디 5단 서랍 수납 수납장 서랍장, 오크화이트",39000,21486298,False,61,3.5,77.0,False,파란들,착불배송,15.0,600x400x820mm,NULL,합성목재,NULL
249,330,184613,"[삼익가구]그레이스 고광택 1200 와이드 6단 서랍장, 화이트",104900,1262360231,False,47,4.0,13.0,False,삼익가구,착불배송,13.0,NULL,NULL,NULL,NULL
250,331,184613,"삼익가구 몬스 원목 5단 서랍장 방문설치, 내츄럴",329400,1829494126,True,0,4.0,10.0,False,삼익가구,0,10.0,NULL,NULL,NULL,NULL
251,332,184613,"다빈 900 5단 서랍장, 웬지화이트",99000,57413205,False,0,3.0,3.0,False,라레스가구,착불배송,2.0,NULL,NULL,NULL,NULL
252,333,184613,"동서가구/착불 라떼 800 3단 서랍장 DF918465, 멀바우",72900,4322601699,False,27,5.0,2.0,False,동서가구,착불배송,2.0,NULL,NULL,NULL,NULL
253,334,184613,"퍼니아트 라티니 고급 4단 서랍장, 화이트",149800,343416609,False,0,5.0,5.0,False,,,4.0,NULL,NULL,NULL,NULL
254,335,184613,"[로반스] 스윗 서랍장 수납장, 09) 스윗800 5단서랍장 / 그레이",127600,339400981,False,0,4.0,8.0,False,,착불배송,8.0,NULL,NULL,NULL,NULL
255,337,184613,"[삼익가구]타파스 5단 서랍장 800, 화이트",114900,5239224111,False,49,5.0,1.0,False,삼익가구,착불배송,1.0,NULL,NULL,NULL,NULL
256,341,184613,"라인아트 코니 하이그로시 5단 미니 서랍장, SR-P08 화이트",58200,237949650,False,33,4.5,4.0,False,,착불배송,4.0,W220XD400XH1110,화이트,"MDF,PB",NULL
257,342,184613,"마켓비 OFFICY 6단 서랍장, 화이트(9217.8137)",44900,4774796755,True,0,,,False,마켓비,0,,NULL,NULL,NULL,NULL
258,343,184613,"동서가구 댄디 1000 4단 서랍장 D1003, 워시그레이",110900,1173157822,False,0,5.0,2.0,False,동서가구,착불배송,2.0,NULL,NULL,NULL,NULL
